mois,marche,ville,produit,prix_fcfa,quantite,total,collecteur
Jan,Mokolo,Douala,Manioc (kg),97.0,12,1164,Enquêteur_A
Mai,Marché Central,Yaoundé,Tomate (kg),200.0,98,19600,Enquêteur_C
Avr,Mvog-Mbi,Yaoundé,Tomate (kg),,57,23028,Enquêteur_C
Mai,Mokolo,Douala,Sucre (1kg),633.0,21,13293,Enquêteur_A
Mai,Marché Central,Yaoundé,Arachide (kg),602.0,58,34916,Enquêteur_A
Fév,Sandaga,Douala,Plantain (kg),337.0,53,17861,Enquêteur_C
Jan,Sandaga,Douala,Tomate (kg),296.0,10,2960,Enquêteur_C
Jan,Marché Central,Yaoundé,Sucre (1kg),696.0,75,52200,Enquêteur_B
Jan,Mfoundi,Yaoundé,Arachide (kg),566.0,10,5660,Enquêteur_B
Fév,Mfoundi,Yaoundé,Tomate (kg),258.0,64,16512,Enquêteur_C
Jan,Marché Central,Yaoundé,Sucre (1kg),459.0,46,21114,Enquêteur_C
Avr,Mokolo,Douala,Huile (1L),1203.0,31,37293,Enquêteur_C
Fév,Mfoundi,Yaoundé,Manioc (kg),201.0,94,18894,Enquêteur_C
Jun,Mvog-Mbi,Yaoundé,Poulet (kg),2454.0,24,58896,Enquêteur_A
Mai,Mvog-Mbi,Yaoundé,Riz (1kg),607.0,60,36420,Enquêteur_C
Mar,New-Bell,Douala,Poulet (kg),2140.0,57,121980,Enquêteur_C
Avr,New-Bell,Douala,Igname (kg),326.0,83,27058,Enquêteur_A
Jan,Mfoundi,Yaoundé,Arachide (kg),757.0,35,26495,Enquêteur_A
Jun,New-Bell,Douala,Huile (1L),1153.0,10,11530,Enquêteur_A
Mar,Marché Biyem,Yaoundé,Manioc (kg),221.0,22,4862,Enquêteur_B
Mai,Mvog-Mbi,Yaoundé,Igname (kg),649.0,95,61655,Enquêteur_C
Mar,Mfoundi,Yaoundé,Plantain (kg),344.0,11,3784,Enquêteur_B
Avr,Marché Biyem,Yaoundé,Sucre (1kg),,13,8099,Enquêteur_B
Fév,New-Bell,Douala,Sucre (1kg),610.0,42,25620,Enquêteur_B
Jan,Marché Central,Yaoundé,Sucre (1kg),581.0,69,40089,Enquêteur_B
Avr,Mvog-Mbi,Yaoundé,Plantain (kg),384.0,38,14592,Enquêteur_B
Fév,Grand Marché,Bafoussam,Arachide (kg),620.0,12,7440,Enquêteur_B
Mai,Mfoundi,Yaoundé,Plantain (kg),442.0,16,7072,Enquêteur_C
Mar,Mfoundi,Yaoundé,Manioc (kg),171.0,40,6840,Enquêteur_C
Jun,Grand Marché,Bafoussam,Tomate (kg),,3,696,Enquêteur_A
Mar,Marché Biyem,Yaoundé,Plantain (kg),153.0,17,2601,Enquêteur_B
Fév,Mvog-Mbi,Yaoundé,Tomate (kg),176.0,41,7216,Enquêteur_C
Jan,Sandaga,Douala,Poisson fumé (kg),4026.0,60,241560,Enquêteur_A
Jan,Marché Biyem,Yaoundé,Tomate (kg),312.0,3,936,Enquêteur_C
Avr,Mokolo,Douala,Igname (kg),777.0,64,49728,Enquêteur_C
Avr,Mfoundi,Yaoundé,Sucre (1kg),753.0,30,22590,Enquêteur_A
Mai,Mfoundi,Yaoundé,Huile (1L),884.0,66,58344,Enquêteur_A
Mar,New-Bell,Douala,Tomate (kg),266.0,28,7448,Enquêteur_A
Mar,Marché Biyem,Yaoundé,Poulet (kg),2676.0,30,80280,Enquêteur_C
Mar,New-Bell,Douala,Igname (kg),392.0,26,10192,Enquêteur_A
Mai,Mvog-Mbi,Yaoundé,Huile (1L),1431.0,82,117342,Enquêteur_C
Fév,Sandaga,Douala,Manioc (kg),174.0,20,3480,Enquêteur_B
Jun,Sandaga,Douala,Manioc (kg),181.0,30,5430,Enquêteur_C
Mar,Marché Central,Yaoundé,Tomate (kg),440.0,83,36520,Enquêteur_A
Jan,Marché Biyem,Yaoundé,Poulet (kg),25270.0,71,179417,Enquêteur_C
Mai,Marché Central,Yaoundé,Tomate (kg),506.0,58,29348,Enquêteur_C
Jan,New-Bell,Douala,Poulet (kg),2544.0,6,15264,Enquêteur_B
Mar,Marché Biyem,Yaoundé,Manioc (kg),176.0,83,14608,Enquêteur_C
Fév,Grand Marché,Bafoussam,Manioc (kg),234.0,95,22230,Enquêteur_B
Avr,Marché Biyem,Yaoundé,Poisson fumé (kg),3419.0,10,34190,Enquêteur_B
Mar,Sandaga,Douala,Plantain (kg),177.0,20,3540,Enquêteur_C
Jun,Marché Biyem,Yaoundé,Poulet (kg),3040.0,85,258400,Enquêteur_C
Avr,Sandaga,Douala,Plantain (kg),179.0,83,14857,Enquêteur_C
Jun,New-Bell,Douala,Plantain (kg),,12,3348,Enquêteur_A
Fév,Mfoundi,Yaoundé,Poisson fumé (kg),3503.0,44,154132,Enquêteur_A
Jan,Mvog-Mbi,Yaoundé,Riz (1kg),474.0,62,29388,Enquêteur_B
Jan,Marché Central,Yaoundé,Poisson fumé (kg),3197.0,76,242972,Enquêteur_B
Jan,Mvog-Mbi,Yaoundé,Manioc (kg),231.0,86,19866,Enquêteur_C
Fév,Grand Marché,Bafoussam,Huile (1L),1318.0,90,118620,Enquêteur_B
Mai,Grand Marché,Bafoussam,Plantain (kg),397.0,37,14689,Enquêteur_B
Fév,Sandaga,Douala,Igname (kg),443.0,26,11518,Enquêteur_A
Mar,Marché Biyem,Yaoundé,Riz (1kg),445.0,8,3560,Enquêteur_A
Mar,Marché Central,Yaoundé,Huile (1L),1865.0,48,89520,Enquêteur_C
Mai,New-Bell,Douala,Igname (kg),531.0,55,29205,Enquêteur_B
Mai,New-Bell,Douala,Plantain (kg),503.0,31,15593,Enquêteur_C
Jan,Mokolo,Douala,Arachide (kg),778.0,32,24896,Enquêteur_A
Mai,Sandaga,Douala,Manioc (kg),219.0,42,9198,Enquêteur_B
Avr,New-Bell,Douala,Riz (1kg),486.0,60,29160,Enquêteur_C
Mai,Marché Biyem,Yaoundé,Riz (1kg),522.0,95,49590,Enquêteur_C
Jan,Marché Biyem,Yaoundé,Poisson fumé (kg),2780.0,71,197380,Enquêteur_A
Jan,Marché Central,Yaoundé,Arachide (kg),530.0,53,28090,Enquêteur_A
Mar,Mfoundi,Yaoundé,Igname (kg),435.0,22,9570,Enquêteur_A
Jan,Mokolo,Douala,Manioc (kg),182.0,39,7098,Enquêteur_C
Avr,Marché Central,Yaoundé,Riz (1kg),579.0,80,46320,Enquêteur_C
Jan,Marché Biyem,Yaoundé,Manioc (kg),207.0,84,17388,Enquêteur_B
Mar,Grand Marché,Bafoussam,Sucre (1kg),586.0,29,16994,Enquêteur_B
Mai,New-Bell,Douala,Arachide (kg),614.0,32,19648,Enquêteur_A
Mar,New-Bell,Douala,Tomate (kg),417.0,73,30441,Enquêteur_A
Jan,New-Bell,Douala,Riz (1kg),503.0,59,29677,Enquêteur_B
Jan,Marché Central,Yaoundé,Huile (1L),1267.0,87,110229,Enquêteur_C
Fév,Sandaga,Douala,Arachide (kg),772.0,14,10808,Enquêteur_B
Avr,Mokolo,Douala,Igname (kg),455.0,63,28665,Enquêteur_A
Mai,Sandaga,Douala,Poisson fumé (kg),4026.0,88,354288,Enquêteur_C
Mai,New-Bell,Douala,Igname (kg),476.0,29,13804,Enquêteur_B
Avr,Mokolo,Douala,Sucre (1kg),601.0,73,43873,Enquêteur_A
Mai,Marché Biyem,Yaoundé,Tomate (kg),252.0,83,20916,Enquêteur_A
Mai,Mokolo,Douala,Igname (kg),400.0,40,16000,Enquêteur_A
Fév,Grand Marché,Bafoussam,Tomate (kg),501.0,15,7515,Enquêteur_A
Mai,Sandaga,Douala,Manioc (kg),199.0,91,18109,Enquêteur_A
Jan,Sandaga,Douala,Poisson fumé (kg),3753.0,16,60048,Enquêteur_A
Mai,Sandaga,Douala,Riz (1kg),498.0,2,996,Enquêteur_C
Fév,Mvog-Mbi,Yaoundé,Poisson fumé (kg),3180.0,63,200340,Enquêteur_B
Jan,New-Bell,Douala,Poulet (kg),1777.0,4,7108,Enquêteur_C
Jan,Mokolo,Douala,Tomate (kg),362.0,70,25340,Enquêteur_A
Jun,Sandaga,Douala,Igname (kg),352.0,17,5984,Enquêteur_B
Fév,Grand Marché,Bafoussam,Plantain (kg),186.0,62,11532,Enquêteur_B
Mar,Mokolo,Douala,Riz (1kg),435.0,27,11745,Enquêteur_B
Mar,Marché Biyem,Yaoundé,Plantain (kg),193.0,38,7334,Enquêteur_C
Mai,Mvog-Mbi,Yaoundé,Manioc (kg),219.0,94,20586,Enquêteur_B
Avr,Mokolo,Douala,Poisson fumé (kg),3997.0,37,147889,Enquêteur_C
Jun,Mokolo,Douala,Poisson fumé (kg),2982.0,1,2982,Enquêteur_B
Jan,Grand Marché,Bafoussam,Plantain (kg),284.0,10,2840,Enquêteur_A
Fév,Marché Central,Yaoundé,Poisson fumé (kg),2961.0,53,156933,Enquêteur_A
Mai,Sandaga,Douala,Tomate (kg),170.0,97,16490,Enquêteur_B
Fév,Mvog-Mbi,Yaoundé,Poulet (kg),2693.0,32,86176,Enquêteur_C
Mar,Mokolo,Douala,Plantain (kg),201.0,52,10452,Enquêteur_C
Avr,New-Bell,Douala,Arachide (kg),661.0,13,8593,Enquêteur_A
Mai,Mfoundi,Yaoundé,Igname (kg),494.0,95,46930,Enquêteur_A
Avr,Sandaga,Douala,Plantain (kg),231.0,16,3696,Enquêteur_C
Avr,New-Bell,Douala,Igname (kg),510.0,49,24990,Enquêteur_A
Jun,Mvog-Mbi,Yaoundé,Igname (kg),647.0,34,21998,Enquêteur_B
Mar,Mvog-Mbi,Yaoundé,Poisson fumé (kg),2816.0,10,28160,Enquêteur_C
Mai,New-Bell,Douala,Riz (1kg),508.0,32,16256,Enquêteur_B
Mai,Mvog-Mbi,Yaoundé,Plantain (kg),404.0,34,13736,Enquêteur_C
Jun,Mvog-Mbi,Yaoundé,Huile (1L),1094.0,89,97366,Enquêteur_C
Jun,Sandaga,Douala,Manioc (kg),258.0,51,13158,Enquêteur_B
Fév,New-Bell,Douala,Huile (1L),1187.0,40,47480,Enquêteur_C
Mai,Marché Central,Yaoundé,Plantain (kg),321.0,35,11235,Enquêteur_B
Fév,Sandaga,Douala,Tomate (kg),208.0,86,17888,Enquêteur_A
Fév,Sandaga,Douala,Manioc (kg),224.0,84,18816,Enquêteur_A
Mai,New-Bell,Douala,Igname (kg),531.0,81,43011,Enquêteur_C
Mar,Sandaga,Douala,Huile (1L),1164.0,72,83808,Enquêteur_A
Mar,Mvog-Mbi,Yaoundé,Igname (kg),458.0,56,25648,Enquêteur_A
Mar,Grand Marché,Bafoussam,Riz (1kg),438.0,62,27156,Enquêteur_A
Mar,New-Bell,Douala,Huile (1L),849.0,35,29715,Enquêteur_B
Jun,Mvog-Mbi,Yaoundé,Plantain (kg),283.0,10,2830,Enquêteur_C
Fév,Mvog-Mbi,Yaoundé,Poisson fumé (kg),2854.0,95,271130,Enquêteur_C
Jan,Mokolo,Douala,Poisson fumé (kg),3660.0,99,362340,Enquêteur_B
Mar,Mfoundi,Yaoundé,Manioc (kg),168.0,63,10584,Enquêteur_C
Avr,Marché Central,Yaoundé,Arachide (kg),787.0,52,40924,Enquêteur_C
Mar,Mvog-Mbi,Yaoundé,Poisson fumé (kg),4093.0,75,306975,Enquêteur_A
Mar,Sandaga,Douala,Manioc (kg),235.0,71,16685,Enquêteur_B
Jan,New-Bell,Douala,Sucre (1kg),593.0,17,10081,Enquêteur_B
Jan,Mvog-Mbi,Yaoundé,Poisson fumé (kg),4190.0,98,410620,Enquêteur_C
Jan,Grand Marché,Bafoussam,Sucre (1kg),481.0,40,19240,Enquêteur_A
Mai,Mfoundi,Yaoundé,Poisson fumé (kg),3764.0,44,165616,Enquêteur_C
Mai,Mvog-Mbi,Yaoundé,Poulet (kg),2254.0,67,151018,Enquêteur_B
Mai,New-Bell,Douala,Poisson fumé (kg),4543.0,4,18172,Enquêteur_A
Jan,New-Bell,Douala,Manioc (kg),262.0,72,18864,Enquêteur_A
Avr,Sandaga,Douala,Manioc (kg),244.0,33,8052,Enquêteur_C
Mar,Mfoundi,Yaoundé,Arachide (kg),829.0,72,59688,Enquêteur_C
Avr,Mfoundi,Yaoundé,Poisson fumé (kg),4500.0,13,58500,Enquêteur_C
Avr,Sandaga,Douala,Riz (1kg),512.0,37,18944,Enquêteur_C
Avr,Marché Central,Yaoundé,Igname (kg),594.0,15,8910,Enquêteur_C
Jan,Marché Biyem,Yaoundé,Tomate (kg),275.0,57,15675,Enquêteur_C
Jan,Mokolo,Douala,Igname (kg),466.0,51,23766,Enquêteur_A
Mai,New-Bell,Douala,Huile (1L),1660.0,15,24900,Enquêteur_C
Jan,Grand Marché,Bafoussam,Huile (1L),1033.0,40,41320,Enquêteur_B
Fév,Mvog-Mbi,Yaoundé,Riz (1kg),336.0,62,20832,Enquêteur_B
Jan,Mokolo,Douala,Igname (kg),410.0,38,15580,Enquêteur_B
Mai,Marché Central,Yaoundé,Huile (1L),1328.0,12,15936,Enquêteur_A
Mar,Mfoundi,Yaoundé,Huile (1L),1123.0,22,24706,Enquêteur_C
Avr,Grand Marché,Bafoussam,Manioc (kg),240.0,46,11040,Enquêteur_B
Avr,Sandaga,Douala,Huile (1L),1450.0,31,44950,Enquêteur_A
Jan,New-Bell,Douala,Manioc (kg),182.0,81,14742,Enquêteur_C
Avr,Mvog-Mbi,Yaoundé,Riz (1kg),,49,25578,Enquêteur_C
Fév,New-Bell,Douala,Arachide (kg),668.0,45,30060,Enquêteur_A
Jun,Mfoundi,Yaoundé,Poisson fumé (kg),3682.0,58,213556,Enquêteur_C
Jun,New-Bell,Douala,Plantain (kg),363.0,44,15972,Enquêteur_C
Avr,Marché Central,Yaoundé,Poulet (kg),2007.0,98,196686,Enquêteur_A
Fév,Sandaga,Douala,Poisson fumé (kg),,7,29799,Enquêteur_C
Jun,New-Bell,Douala,Igname (kg),564.0,25,14100,Enquêteur_C
Mai,New-Bell,Douala,Manioc (kg),,7,1302,Enquêteur_B
Jun,Mokolo,Douala,Tomate (kg),316.0,17,5372,Enquêteur_A
Jun,Grand Marché,Bafoussam,Poulet (kg),2907.0,83,241281,Enquêteur_C
Mai,Marché Central,Yaoundé,Sucre (1kg),727.0,58,42166,Enquêteur_B
Mai,Mokolo,Douala,Poulet (kg),2266.0,24,54384,Enquêteur_A
Mai,Mokolo,Douala,Plantain (kg),259.0,5,1295,Enquêteur_A
Jan,Marché Biyem,Yaoundé,Igname (kg),603.0,58,34974,Enquêteur_B
Jan,Marché Biyem,Yaoundé,Tomate (kg),138.0,27,3726,Enquêteur_C
Jun,Mfoundi,Yaoundé,Plantain (kg),419.0,28,11732,Enquêteur_C
Jan,Sandaga,Douala,Sucre (1kg),565.0,3,1695,Enquêteur_B
Avr,Grand Marché,Bafoussam,Huile (1L),1092.0,50,54600,Enquêteur_B
Avr,Mvog-Mbi,Yaoundé,Manioc (kg),126.0,26,3276,Enquêteur_A
Mai,New-Bell,Douala,Poulet (kg),2797.0,59,165023,Enquêteur_B
Mar,Sandaga,Douala,Huile (1L),1007.0,66,66462,Enquêteur_A
Fév,Grand Marché,Bafoussam,Poulet (kg),2504.0,36,90144,Enquêteur_B
Jun,Mfoundi,Yaoundé,Poisson fumé (kg),3048.0,88,268224,Enquêteur_B
Jun,Mokolo,Douala,Manioc (kg),227.0,14,3178,Enquêteur_B
Mai,Marché Central,Yaoundé,Huile (1L),870.0,57,49590,Enquêteur_C
Jan,Mvog-Mbi,Yaoundé,Huile (1L),1029.0,47,48363,Enquêteur_B
Mai,Mfoundi,Yaoundé,Arachide (kg),885.0,80,70800,Enquêteur_C
Fév,Mfoundi,Yaoundé,Tomate (kg),276.0,40,11040,Enquêteur_B
Fév,Sandaga,Douala,Igname (kg),545.0,22,11990,Enquêteur_A
Jun,Marché Central,Yaoundé,Poulet (kg),2543.0,31,78833,Enquêteur_A
Jun,Mfoundi,Yaoundé,Poulet (kg),2683.0,63,169029,Enquêteur_C
Fév,Mokolo,Douala,Huile (1L),1144.0,74,84656,Enquêteur_B
Jan,Mfoundi,Yaoundé,Huile (1L),889.0,9,8001,Enquêteur_B
Fév,Mokolo,Douala,Plantain (kg),489.0,86,42054,Enquêteur_C
Mai,Marché Central,Yaoundé,Riz (1kg),493.0,57,28101,Enquêteur_C
Jun,Mfoundi,Yaoundé,Arachide (kg),569.0,15,8535,Enquêteur_B
Avr,Mfoundi,Yaoundé,Riz (1kg),429.0,71,30459,Enquêteur_B
Jan,Marché Biyem,Yaoundé,Manioc (kg),2170.0,16,3472,Enquêteur_B
Avr,Sandaga,Douala,Plantain (kg),316.0,71,22436,Enquêteur_A
Fév,Marché Central,Yaoundé,Poulet (kg),2528.0,24,60672,Enquêteur_C
Fév,Mfoundi,Yaoundé,Huile (1L),969.0,78,75582,Enquêteur_A
Jun,Mfoundi,Yaoundé,Igname (kg),604.0,22,13288,Enquêteur_A
Jan,Marché Central,Yaoundé,Sucre (1kg),587.0,23,13501,Enquêteur_A
Fév,Mfoundi,Yaoundé,Plantain (kg),230.0,68,15640,Enquêteur_A
Mai,Sandaga,Douala,Manioc (kg),186.0,51,9486,Enquêteur_A
Mar,New-Bell,Douala,Arachide (kg),742.0,52,38584,Enquêteur_C
Jan,Mfoundi,Yaoundé,Huile (1L),993.0,40,39720,Enquêteur_A
Fév,Mvog-Mbi,Yaoundé,Manioc (kg),151.0,25,3775,Enquêteur_A
Mar,Marché Biyem,Yaoundé,Poisson fumé (kg),3959.0,10,39590,Enquêteur_B
Mai,Marché Biyem,Yaoundé,Poulet (kg),2953.0,82,242146,Enquêteur_A
Jan,Grand Marché,Bafoussam,Huile (1L),1224.0,15,18360,Enquêteur_C
Mar,Sandaga,Douala,Plantain (kg),354.0,13,4602,Enquêteur_B
Mai,New-Bell,Douala,Igname (kg),391.0,86,33626,Enquêteur_A
Mar,Grand Marché,Bafoussam,Tomate (kg),273.0,66,18018,Enquêteur_A
Jan,New-Bell,Douala,Manioc (kg),197.0,53,10441,Enquêteur_A
Jun,Mvog-Mbi,Yaoundé,Arachide (kg),642.0,81,52002,Enquêteur_A
Jan,New-Bell,Douala,Poulet (kg),2807.0,23,64561,Enquêteur_A
Jan,Sandaga,Douala,Huile (1L),1015.0,80,81200,Enquêteur_A
Fév,Mfoundi,Yaoundé,Arachide (kg),467.0,63,29421,Enquêteur_C
Mai,New-Bell,Douala,Riz (1kg),551.0,43,23693,Enquêteur_B
Jun,Marché Central,Yaoundé,Manioc (kg),132.0,25,3300,Enquêteur_A
Avr,Mvog-Mbi,Yaoundé,Manioc (kg),254.0,71,18034,Enquêteur_B
Mar,Sandaga,Douala,Tomate (kg),4050.0,15,6075,Enquêteur_A
Avr,Mokolo,Douala,Plantain (kg),318.0,37,11766,Enquêteur_A
Mai,Mfoundi,Yaoundé,Plantain (kg),133.0,21,2793,Enquêteur_B
Fév,Grand Marché,Bafoussam,Manioc (kg),125.0,75,9375,Enquêteur_C
Fév,Marché Central,Yaoundé,Plantain (kg),436.0,17,7412,Enquêteur_B
Avr,Marché Biyem,Yaoundé,Plantain (kg),413.0,63,26019,Enquêteur_B
Jan,Sandaga,Douala,Manioc (kg),172.0,40,6880,Enquêteur_C
Mai,Marché Central,Yaoundé,Igname (kg),583.0,18,10494,Enquêteur_C
Fév,Marché Biyem,Yaoundé,Igname (kg),583.0,15,8745,Enquêteur_A
Jun,Mvog-Mbi,Yaoundé,Arachide (kg),361.0,82,29602,Enquêteur_A
Mai,Marché Biyem,Yaoundé,Manioc (kg),226.0,13,2938,Enquêteur_B
Jan,Marché Biyem,Yaoundé,Poisson fumé (kg),3457.0,17,58769,Enquêteur_C
Jan,Mokolo,Douala,Huile (1L),960.0,75,72000,Enquêteur_C
Mar,Mokolo,Douala,Tomate (kg),330.0,12,3960,Enquêteur_C
Jan,Marché Central,Yaoundé,Arachide (kg),564.0,8,4512,Enquêteur_B
Mar,Mvog-Mbi,Yaoundé,Igname (kg),368.0,33,12144,Enquêteur_B
Jan,Grand Marché,Bafoussam,Sucre (1kg),423.0,87,36801,Enquêteur_A
Jan,New-Bell,Douala,Poisson fumé (kg),2264.0,16,36224,Enquêteur_A
Jan,Grand Marché,Bafoussam,Sucre (1kg),543.0,36,19548,Enquêteur_B
Mai,Marché Central,Yaoundé,Poulet (kg),2361.0,78,184158,Enquêteur_C
Avr,Marché Central,Yaoundé,Sucre (1kg),660.0,2,1320,Enquêteur_C
Fév,Marché Biyem,Yaoundé,Igname (kg),,28,13748,Enquêteur_C
Mai,Mvog-Mbi,Yaoundé,Huile (1L),1508.0,36,54288,Enquêteur_C
Jan,Marché Biyem,Yaoundé,Poisson fumé (kg),4091.0,98,400918,Enquêteur_C
Mar,Grand Marché,Bafoussam,Riz (1kg),496.0,93,46128,Enquêteur_C
Mar,Mvog-Mbi,Yaoundé,Arachide (kg),689.0,33,22737,Enquêteur_A
Mar,Mfoundi,Yaoundé,Tomate (kg),79.0,33,2607,Enquêteur_A
Fév,Mokolo,Douala,Riz (1kg),562.0,22,12364,Enquêteur_A
Mai,Mvog-Mbi,Yaoundé,Tomate (kg),335.0,26,8710,Enquêteur_A
Mai,Sandaga,Douala,Tomate (kg),50.0,85,4250,Enquêteur_B
Avr,Marché Central,Yaoundé,Igname (kg),515.0,60,30900,Enquêteur_C
Fév,New-Bell,Douala,Tomate (kg),306.0,4,1224,Enquêteur_B
Jun,Marché Biyem,Yaoundé,Sucre (1kg),516.0,4,2064,Enquêteur_B
Mai,Sandaga,Douala,Huile (1L),1297.0,35,45395,Enquêteur_C
Mar,Sandaga,Douala,Poulet (kg),2788.0,1,2788,Enquêteur_B
Avr,Marché Central,Yaoundé,Poulet (kg),3118.0,45,140310,Enquêteur_B
Avr,Grand Marché,Bafoussam,Poulet (kg),2941.0,2,5882,Enquêteur_B
Mar,Mvog-Mbi,Yaoundé,Igname (kg),268.0,53,14204,Enquêteur_B
Mar,Mfoundi,Yaoundé,Arachide (kg),529.0,56,29624,Enquêteur_C
Jan,Sandaga,Douala,Riz (1kg),418.0,30,12540,Enquêteur_B
Jun,Mokolo,Douala,Plantain (kg),,65,12545,Enquêteur_B
Mar,Marché Central,Yaoundé,Poulet (kg),,43,87462,Enquêteur_B
Mai,Mokolo,Douala,Huile (1L),1528.0,12,18336,Enquêteur_A
Mai,Mfoundi,Yaoundé,Sucre (1kg),568.0,92,52256,Enquêteur_A
Jan,Sandaga,Douala,Manioc (kg),230.0,8,1840,Enquêteur_C
Jan,Mfoundi,Yaoundé,Igname (kg),294.0,59,17346,Enquêteur_C
Jan,Marché Central,Yaoundé,Igname (kg),455.0,56,25480,Enquêteur_A
